PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40089931,"Efficacy analysis of vincristine, adriamycin, dexamethasone chemotherapy regimen combined with thalidomide in the treatment of multiple myeloma nephropathy and its impact on renal function factors.",2025 Jan-Feb,Liu J; Liu D; Wang L,,
40089714,Effect of delayed isolation of peripheral blood mononuclear cells on cell viability and functionality.,2025 Mar 15,Lehle S; Völkl S; Seitz K; Goossens C; Emons J; Ruebner M; Uhrig S; Ziegler P; Theuser AK; Beckmann MW; Fasching PA; Huebner H,,
40089661,Lung Cancer Biomarker Database (LCBD): a comprehensive and curated repository of lung cancer biomarkers.,2025 Mar 15,Li Y; Tong Z; Yang Y; Wang Y; Wen L; Li Y; Bai M; Xie Y; Li B; Shu K,,
40089103,Outcomes of Transarterial Hepatic Embolization versus Yttrium-90 Radioembolization for Treatment of Patients with Hepatocellular Carcinoma > 7 cm.,2025 Mar 13,Son SY; Velayati S; Zhao K; Marinelli B; Geevarghese R; Sotirchos VS; Covey A; Harding JJ; D'Angelica MI; Jarnagin WR; Wei A; Yarmohammadi H,,
40088932,Forward momentum: Progressive change through diversity equity and inclusion initiatives (DEI) in academic healthcare.,2025 Mar 14,Kalavagunta C; Savla B; White J; Bulkley D; Dunlap A; Kwok R; Shaw K; MacFarlane M; Dudley S; Alicia D; Marter K; Leichter R; Chason C; Bentzen SM; Regine W; Vyfhuis M,,
40088892,"Actionable genetic variants in 4,198 Scottish participants from the Orkney and Shetland founder populations and implementation of return of results.",2025 Mar 7,Kerr SM; Klaric L; Muckian MD; Johnston K; Drake C; Halachev M; Cowan E; Snadden L; Dean J; Zheng SL; Thami PK; Ware JS; Tzoneva G; Shuldiner AR; Miedzybrodzka Z; Wilson JF,,
40088728,"Palliative management of patients with locally recurrent rectal cancer: Clinical presentation, treatment strategies, and overall survival.",2025 Mar 10,Banken E; Creemers DMJ; Kerckhove FECV; Ketelaers SHJ; van Hellemond IEG; Peulen HMU; Rutten HJT; Burger JWA,,
40088627,VIPAS39 confers ferroptosis resistance in epithelial ovarian cancer through exporting ACSL4.,2025 Mar 14,Jiang Y; Li J; Wang T; Gu X; Li X; Liu Z; Yue W; Li M,,
40088581,"Efficacy of EGFR tyrosine kinase inhibitors in patients with non-small cell lung cancer with EGFR exon 19 insertions: clinical-genomic, preclinical analysis through LC-SCRUM-Asia (multi-institutional genomic screening registry).",2025 Mar 5,Uehara Y; Izumi H; Kobayashi IS; Matsumoto S; Hosomi Y; Okuno T; Sugisaka J; Takase N; Taima K; Sasaki S; Teranishi S; Miyamoto S; Mori M; Nakashima C; Asano S; Oi H; Sakai T; Shibata Y; Udagawa H; Sugiyama E; Nosaki K; Umemura S; Zenke Y; Yoh K; Ikeda S; Costa DB; Kobayashi SS; Goto K,,
40088378,Calcifying Epithelial Odontogenic Tumour (Pindborg Tumour): A Report of 20 Cases and Review of the Literature.,2025 Mar 15,Polti LF; Gorrino-Baquero RB; Villegas KM; Amaya-Londoño N; Paparella ML,,
